probe: using server at http://127.0.0.1:8766 (spawned)
PASS  announce: the destination line names the place, range, bearing, and the approach — High Country Ranch · 10 m west · via the yard
    [hunt 2] player=(-397.5, 304.4) wedged=0 timedOut=0 prompt=""
    [hunt 3] player=(-400.1, 303.2) wedged=0 timedOut=0 prompt=""
    [hunt 4] player=(-402.6, 302.3) wedged=0 timedOut=0 prompt=""
    [hunt 5] player=(-404.2, 300.0) wedged=0 timedOut=0 prompt=""
PASS  leg1: Harlan is addressable from the announced place — E — Talk to Harlan Calder — after 6 stop(s)
PASS  leg1: E opens the conversation — {"dialogue":"","speaker":"Harlan Calder"}
PASS  leg1: talking to the family starts the loop — stage=1 objective=Ride the ridge trail north to the Ranch Overlook
    [hunt 4] player=(-395.0, 300.2) wedged=0 timedOut=2 prompt="E — Talk to Harlan Calder"
    [hunt 5] player=(-398.8, 296.5) wedged=0 timedOut=2 prompt=""
    [hunt 6] player=(-401.3, 298.4) wedged=0 timedOut=2 prompt=""
    [hunt 7] player=(-403.6, 299.6) wedged=0 timedOut=2 prompt=""
PASS  mount: the hint's E mounts the horse — mounted=true
    [ride] Ranch overlook (route): 758 m to go at (-390, 313)
    [ride] Ranch overlook (route): 763 m to go at (-392, 318)
    [ride] Ranch overlook (route): 760 m to go at (-404, 310)
    [ride] Ranch overlook (route): 733 m to go at (-400, 284)
    [ride] Ranch overlook (route): 737 m to go at (-406, 286)
    [ride] Ranch overlook (route): 721 m to go at (-418, 264)
    [ride] Ranch overlook (route): 698 m to go at (-416, 240)
    [ride] Ranch overlook (route): 678 m to go at (-417, 218)
    [ride] Ranch overlook (route): 659 m to go at (-421, 196)
    [ride] Ranch overlook (route): 641 m to go at (-425, 175)
    [ride] Ranch overlook (route): 623 m to go at (-429, 153)
    [ride] Ranch overlook (route): 654 m to go at (-434, 185)
    [ride] Ranch overlook (route): 639 m to go at (-421, 174)
    [ride] Ranch overlook (route): 621 m to go at (-426, 152)
    [ride] Ranch overlook (route): 603 m to go at (-433, 128)
    [ride] Ranch overlook (route): 587 m to go at (-439, 107)
    [ride] Ranch overlook (route): 571 m to go at (-443, 87)
    [ride] Ranch overlook (route): 554 m to go at (-447, 65)
    [ride] Ranch overlook (route): 569 m to go at (-430, 92)
    [ride] Ranch overlook (route): 573 m to go at (-446, 88)
    [ride] Ranch overlook (route): 556 m to go at (-451, 65)
    [ride] Ranch overlook (route): 539 m to go at (-453, 43)
    [ride] Ranch overlook (route): 522 m to go at (-456, 22)
    [ride] Ranch overlook (route): 507 m to go at (-460, -1)
    [ride] Ranch overlook (route): 492 m to go at (-465, -23)
    [ride] Ranch overlook (route): 505 m to go at (-448, 6)
